Team,Wins,Losses,ThreePointPct,DefensiveRating,MadePlayoffs
New York Knicks,17,65,34.7,107.0,0
Golden State Warriors,67,15,39.8,99.6,1
Los Angeles Clippers,56,26,37.6,103.1,1
Houston Rockets,56,26,34.8,100.8,1
San Antonio Spurs,55,27,36.7,99.8,1
Memphis Grizzlies,55,27,33.9,99.7,1
Portland Trail Blazers,51,31,36.2,101.2,1
Dallas Mavericks,50,32,35.2,104.2,1
New Orleans Pelicans,45,37,37.0,104.6,1
Oklahoma City Thunder,45,37,33.9,102.3,0
Phoenix Suns,39,43,34.1,103.8,0
Utah Jazz,38,44,34.3,102.3,0
Denver Nuggets,30,52,32.5,105.2,0
Sacramento Kings,29,53,34.1,106.2,0
Los Angeles Lakers,21,61,34.4,107.9,0
Minnesota Timberwolves,16,66,33.2,108.8,0
Cleveland Cavaliers,57,25,36.2,101.9,1
Toronto Raptors,56,26,37.0,102.3,1
Charlotte Hornets,48,34,36.2,102.3,1
Atlanta Hawks,48,34,35.0,99.3,1
Miami Heat,48,34,33.6,102.4,1
Boston Celtics,48,34,33.5,100.7,1
Indiana Pacers,45,37,35.1,100.7,1
Detroit Pistons,44,38,34.5,102.6,1
Chicago Bulls,42,40,37.1,103.6,0
Washington Wizards,41,41,35.8,103.4,0
Orlando Magic,35,47,35.0,104.2,0
Milwaukee Bucks,33,49,34.5,106.5,0
New York Knicks,32,50,34.6,104.8,0
Brooklyn Nets,21,61,35.2,108.4,0
Philadelphia 76ers,10,72,33.9,106.8,0
Golden State Warriors,73,9,41.6,102.0,1
San Antonio Spurs,67,15,37.5,97.2,1
Oklahoma City Thunder,55,27,34.9,102.6,1
LA Clippers,53,29,36.4,102.1,1
Portland Trail Blazers,44,38,37.0,105.3,1
Dallas Mavericks,42,40,34.4,105.1,1
Memphis Grizzlies,42,40,33.1,104.9,1
Houston Rockets,41,41,34.7,105.3,1
Utah Jazz,40,42,35.5,101.2,0
Sacramento Kings,33,49,35.9,105.7,0
Denver Nuggets,33,49,33.8,105.9,0
New Orleans Pelicans,30,52,36.0,107.0,0
Minnesota Timberwolves,29,53,33.8,107.9,0
Phoenix Suns,23,59,34.8,105.9,0
Los Angeles Lakers,17,65,31.7,108.3,0
Boston Celtics,53,29,35.9,105.9,1
Cleveland Cavaliers,51,31,38.4,107.7,1
Toronto Raptors,51,31,36.3,105.5,1
Washington Wizards,49,33,37.2,106.7,1
Atlanta Hawks,43,39,34.1,103.2,1
Indiana Pacers,42,40,37.6,106.4,1
Milwaukee Bucks,42,40,37.0,107.1,1
Miami Heat,41,41,36.5,104.1,1
Chicago Bulls,41,41,34.0,104.1,0
Detroit Pistons,37,45,33.0,104.4,0
Charlotte Hornets,36,46,35.1,106.2,0
New York Knicks,31,51,34.8,108.4,0
Orlando Magic,29,53,32.8,107.8,0
Philadelphia 76ers,28,54,34.0,106.2,0
Brooklyn Nets,20,62,33.8,108.4,0
Golden State Warriors,67,15,38.3,101.8,1
San Antonio Spurs,61,21,39.1,101.4,1
Houston Rockets,55,27,35.7,106.2,1
LA Clippers,51,31,37.5,105.9,1
Utah Jazz,51,31,37.2,103.2,1
Oklahoma City Thunder,47,35,32.7,104.2,1
Memphis Grizzlies,43,39,35.4,104.2,1
Portland Trail Blazers,41,41,37.5,108.3,1
Denver Nuggets,40,42,36.8,109.5,0
New Orleans Pelicans,34,48,35.0,105.4,0
Dallas Mavericks,33,49,35.5,106.8,0
Sacramento Kings,32,50,37.6,108.5,0
Minnesota Timberwolves,31,51,34.9,109.2,0
Los Angeles Lakers,26,56,34.6,110.3,0
Phoenix Suns,24,58,33.2,109.3,0
Toronto Raptors,59,23,35.8,103.2,1
Boston Celtics,55,27,37.7,101.6,1
Philadelphia 76ers,52,30,36.9,103.0,1
Cleveland Cavaliers,50,32,37.2,109.6,1
Indiana Pacers,48,34,36.9,105.8,1
Miami Heat,44,38,36.0,104.0,1
Milwaukee Bucks,44,38,35.5,108.1,1
Washington Wizards,43,39,37.5,106.3,1
Detroit Pistons,39,43,37.3,105.0,0
Charlotte Hornets,36,46,36.9,106.7,0
New York Knicks,29,53,35.2,107.7,0
Brooklyn Nets,28,54,35.6,108.0,0
Chicago Bulls,27,55,35.5,108.2,0
Orlando Magic,25,57,35.1,107.6,0
Atlanta Hawks,24,58,36.0,107.8,0
Houston Rockets,65,17,36.2,103.8,1
Golden State Warriors,58,24,39.1,106.4,1
Portland Trail Blazers,49,33,36.6,103.5,1
Utah Jazz,48,34,36.6,101.8,1
New Orleans Pelicans,48,34,36.2,106.4,1
Oklahoma City Thunder,48,34,35.4,104.2,1
Minnesota Timberwolves,47,35,35.7,108.5,1
San Antonio Spurs,47,35,35.2,102.6,1
Denver Nuggets,46,36,37.1,108.1,0
LA Clippers,42,40,35.4,107.7,0
Los Angeles Lakers,35,47,34.5,105.7,0
Sacramento Kings,27,55,37.5,108.3,0
Dallas Mavericks,24,58,36.0,107.2,0
Memphis Grizzlies,22,60,35.2,108.2,0
Phoenix Suns,21,61,33.4,109.9,0
Milwaukee Bucks,60,22,35.3,103.2,1
Toronto Raptors,58,24,36.6,105.0,1
Philadelphia 76ers,51,31,35.9,107.8,1
Boston Celtics,49,33,36.5,105.7,1
Indiana Pacers,48,34,37.4,104.0,1
Orlando Magic,42,40,35.6,105.8,1
Brooklyn Nets,42,40,35.3,106.9,1
Detroit Pistons,41,41,34.8,106.4,1
Charlotte Hornets,39,43,35.1,109.4,0
Miami Heat,39,43,34.9,104.8,0
Washington Wizards,32,50,34.1,111.3,0
Atlanta Hawks,29,53,35.2,111.1,0
Chicago Bulls,22,60,35.1,110.8,0
Cleveland Cavaliers,19,63,35.5,114.7,0
New York Knicks,17,65,34.0,111.1,0
Golden State Warriors,57,25,38.5,107.7,1
Denver Nuggets,54,28,35.1,105.8,1
Portland Trail Blazers,53,29,35.9,107.4,1
Houston Rockets,53,29,35.6,107.8,1
Utah Jazz,50,32,35.6,103.7,1
Oklahoma City Thunder,49,33,34.8,104.4,1
San Antonio Spurs,48,34,39.2,109.4,1
LA Clippers,48,34,38.8,108.9,1
Sacramento Kings,39,43,37.8,109.3,0
Los Angeles Lakers,37,45,33.3,106.8,0
Minnesota Timberwolves,36,46,35.1,109.8,0
New Orleans Pelicans,33,49,34.4,109.9,0
Memphis Grizzlies,33,49,34.2,106.4,0
Dallas Mavericks,33,49,34.0,107.9,0
Phoenix Suns,19,63,32.9,112.6,0
Milwaukee Bucks,56,17,35.5,101.1,1
Toronto Raptors,53,19,37.4,103.0,1
Boston Celtics,48,24,36.4,104.3,1
Indiana Pacers,45,28,36.3,106.0,1
Miami Heat,44,29,37.9,107.1,1
Philadelphia 76ers,43,30,36.8,106.7,1
Brooklyn Nets,35,37,34.3,106.5,1
Orlando Magic,33,40,34.3,107.1,1
Washington Wizards,25,47,36.8,112.7,0
Charlotte Hornets,23,42,35.2,110.7,0
Chicago Bulls,22,43,34.8,107.1,0
New York Knicks,21,45,33.7,110.1,0
Detroit Pistons,20,46,36.7,109.6,0
Atlanta Hawks,20,47,33.3,111.7,0
Cleveland Cavaliers,19,46,35.1,112.1,0
Los Angeles Lakers,52,19,34.9,104.0,1
LA Clippers,49,23,37.1,104.9,1
Denver Nuggets,46,27,35.9,108.0,1
Utah Jazz,44,28,38.0,107.5,1
Oklahoma City Thunder,44,28,35.5,106.4,1
Houston Rockets,44,28,34.5,107.5,1
Dallas Mavericks,43,32,36.7,108.9,1
Portland Trail Blazers,35,39,37.7,112.2,1
Phoenix Suns,34,39,35.8,109.5,0
Memphis Grizzlies,34,39,34.7,107.9,0
San Antonio Spurs,32,39,37.6,111.4,0
Sacramento Kings,31,41,36.4,109.8,0
New Orleans Pelicans,30,42,37.0,109.2,0
Minnesota Timberwolves,19,45,33.6,109.3,0
Golden State Warriors,15,50,33.4,111.3,0
Philadelphia 76ers,49,23,37.4,105.4,1
Brooklyn Nets,48,24,39.2,111.9,1
Milwaukee Bucks,46,26,38.9,109.1,1
New York Knicks,41,31,39.2,105.8,1
Atlanta Hawks,41,31,37.3,110.7,1
Miami Heat,40,32,35.8,109.1,1
Boston Celtics,36,36,37.4,109.6,1
Indiana Pacers,34,38,36.4,110.0,1
Washington Wizards,34,38,35.1,110.6,0
Charlotte Hornets,33,39,36.9,110.0,0
Chicago Bulls,31,41,37.0,109.6,0
Toronto Raptors,27,45,36.8,109.7,0
Cleveland Cavaliers,22,50,33.6,111.5,0
Orlando Magic,21,51,34.3,112.1,0
Detroit Pistons,20,52,35.1,109.8,0
Utah Jazz,52,20,38.9,106.0,1
Phoenix Suns,51,21,37.8,109.1,1
LA Clippers,47,25,41.1,109.0,1
Denver Nuggets,47,25,37.7,109.3,1
Portland Trail Blazers,42,30,38.5,113.1,1
Dallas Mavericks,42,30,36.2,110.6,1
Los Angeles Lakers,42,30,35.4,104.8,1
Golden State Warriors,39,33,37.6,107.8,1
Memphis Grizzlies,38,34,35.6,108.7,0
San Antonio Spurs,33,39,35.0,110.3,0
Sacramento Kings,31,41,36.4,114.7,0
New Orleans Pelicans,31,41,34.8,111.1,0
Minnesota Timberwolves,23,49,34.9,112.3,0
Oklahoma City Thunder,22,50,33.9,111.6,0
Houston Rockets,17,55,33.9,112.5,0
Miami Heat,53,29,37.9,106.7,1
Milwaukee Bucks,51,31,36.6,109.2,1
Philadelphia 76ers,51,31,36.4,108.4,1
Boston Celtics,51,31,35.6,104.8,1
Toronto Raptors,48,34,34.9,107.3,1
Chicago Bulls,46,36,36.9,111.4,1
Brooklyn Nets,44,38,36.1,110.2,1
Cleveland Cavaliers,44,38,35.5,107.2,1
Atlanta Hawks,43,39,37.4,112.4,0
Charlotte Hornets,43,39,36.5,111.3,0
New York Knicks,37,45,35.7,108.1,0
Washington Wizards,35,47,34.2,112.3,0
Indiana Pacers,25,57,34.4,112.6,0
Detroit Pistons,23,59,32.6,110.9,0
Orlando Magic,22,60,33.1,109.7,0
Phoenix Suns,64,18,36.4,105.2,1
Memphis Grizzlies,56,26,35.3,106.1,1
Golden State Warriors,53,29,36.4,104.9,1
Dallas Mavericks,52,30,35.0,107.2,1
Utah Jazz,49,33,36.0,107.9,1
Denver Nuggets,48,34,35.3,109.4,1
Minnesota Timberwolves,46,36,35.8,108.7,1
LA Clippers,42,40,37.4,107.7,1
New Orleans Pelicans,36,46,33.2,110.0,0
San Antonio Spurs,34,48,35.2,109.3,0
Los Angeles Lakers,33,49,34.7,110.9,0
Sacramento Kings,30,52,34.4,112.5,0
Portland Trail Blazers,27,55,34.6,114.3,0
Oklahoma City Thunder,24,58,32.3,110.2,0
Houston Rockets,20,62,34.9,113.6,0
Milwaukee Bucks,58,24,36.8,109.3,1
Boston Celtics,57,25,37.7,109.3,1
Philadelphia 76ers,54,28,38.7,111.2,1
Cleveland Cavaliers,51,31,36.7,108.3,1
New York Knicks,47,35,35.4,112.0,1
Brooklyn Nets,45,37,37.8,112.1,1
Miami Heat,44,38,34.4,110.7,1
Atlanta Hawks,41,41,35.2,113.6,1
Toronto Raptors,41,41,33.5,110.7,0
Chicago Bulls,40,42,36.1,110.4,0
Indiana Pacers,35,47,36.7,114.0,0
Washington Wizards,35,47,35.6,112.7,0
Orlando Magic,34,48,34.6,111.5,0
Charlotte Hornets,27,55,33.0,112.7,0
Detroit Pistons,17,65,35.1,115.9,0
Denver Nuggets,53,29,37.9,111.7,1
Memphis Grizzlies,51,31,35.1,108.5,1
Sacramento Kings,48,34,36.9,114.4,1
Phoenix Suns,45,37,37.4,110.1,1
Golden State Warriors,44,38,38.5,111.8,1
LA Clippers,44,38,38.1,111.9,1
Los Angeles Lakers,43,39,34.6,111.3,1
Minnesota Timberwolves,42,40,36.5,111.3,1
New Orleans Pelicans,42,40,36.4,109.9,0
Oklahoma City Thunder,40,42,35.6,111.2,0
Dallas Mavericks,38,44,37.1,114.3,0
Utah Jazz,37,45,35.3,113.6,0
Portland Trail Blazers,33,49,36.5,116.0,0
San Antonio Spurs,22,60,34.5,116.7,0
Houston Rockets,22,60,32.7,115.3,0
Boston Celtics,64,18,38.8,108.9,1
New York Knicks,50,32,36.9,109.5,1
Milwaukee Bucks,49,33,37.3,113.5,1
Cleveland Cavaliers,48,34,36.7,110.4,1
Indiana Pacers,47,35,37.4,115.0,1
Philadelphia 76ers,47,35,36.3,110.7,1
Orlando Magic,47,35,35.2,108.6,1
Miami Heat,46,36,37.0,109.9,1
Chicago Bulls,39,43,35.8,113.9,0
Atlanta Hawks,36,46,36.4,116.1,0
Brooklyn Nets,32,50,36.2,113.3,0
Toronto Raptors,25,57,34.7,116.1,0
Charlotte Hornets,21,61,35.5,117.4,0
Washington Wizards,15,67,34.8,117.1,0
Detroit Pistons,14,68,34.8,116.1,0
Oklahoma City Thunder,57,25,38.9,109.8,1
Denver Nuggets,57,25,37.4,110.3,1
Minnesota Timberwolves,56,26,38.7,106.6,1
LA Clippers,51,31,38.1,112.8,1
Dallas Mavericks,50,32,36.9,113.0,1
New Orleans Pelicans,49,33,38.3,110.6,1
Phoenix Suns,49,33,38.2,111.9,1
Los Angeles Lakers,47,35,37.7,113.0,1
Golden State Warriors,46,36,38.0,112.2,0
Sacramento Kings,46,36,36.6,112.1,0
Houston Rockets,41,41,35.2,110.4,0
Utah Jazz,31,51,35.4,116.7,0
Memphis Grizzlies,27,55,34.6,111.1,0
San Antonio Spurs,22,60,34.7,113.7,0
Portland Trail Blazers,21,61,34.5,113.9,0
